Taxon,mean,sem
Procyonidae,7.64764541888372,0.202095462749444
Pseudocheiridae,6.66003410463329,0.179083538264979
Pteropodidae,4.80278934732363,0.0992950690434973
Ptilocercidae,3.74950407593037,0
Rhinocerotidae,14.2233501810706,0.164522880055696
Rhinolophidae,2.3249617709079,0.068888705786503
Rhinopomatidae,2.70569882190761,0.330475456549718
Sciuridae,5.4712333848497,0.0804934460468648
Solenodontidae,6.75865316315699,0.0437304889944761
Soricidae,2.22357769048271,0.0545280486668401
Spalacidae,6.05999067978189,0.289694566911254
Suidae,11.3268165864585,0.228582659648861
Tachyglossidae,8.75571293177051,0.343886922700989
Talpidae,3.98888176066189,0.184436775617407
Tapiridae,12.3107284826401,0.179294606137455
Tarsiidae,4.92213532689941,0.08521408134152
Tarsipedidae,2.26799364822443,0
